Network Traffic (MB/s),Request Size (MB),Threshold,Response Time (ms),CPU Load A,CPU Load B,Conn A,Conn B,Label_A,Label_B
86.55,44.09,0.77,359,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.5986584841970366,1,0
37.39,346.07,0.95,200,0.1560186404424365,0.1559945203362026,0.0580836121681994,0.8661761457749352,1,0
33.81,109.68,0.78,447,0.6011150117432088,0.7080725777960455,0.0205844942958024,0.9699098521619944,1,0
45.27,283.95,0.92,408,0.8324426408004217,0.2123391106782761,0.1818249672071006,0.1834045098534338,0,1
74.16,99.97,0.91,320,0.3042422429595377,0.5247564316322378,0.4319450186421157,0.2912291401980419,1,0
90.13,55.85,1.43,166,0.6118528947223795,0.1394938606520418,0.2921446485352181,0.3663618432936917,0,1
89.67,376.48,1.27,211,0.4560699842170359,0.7851759613930136,0.1996737821583597,0.5142344384136116,1,0
27.92,142.79,1.45,51,0.5924145688620425,0.0464504127199977,0.6075448519014384,0.1705241236872915,0,1
86.57,73.39,1.61,450,0.0650515929852795,0.9488855372533332,0.9656320330745594,0.8083973481164611,1,0
7.87,415.84,0.63,257,0.3046137691733707,0.0976721140063838,0.6842330265121569,0.4401524937396013,0,1
62.24,457.48,0.55,351,0.1220382348447788,0.4951769101112702,0.0343885211152183,0.909320402078782,1,0
59.69,196.81,0.56,424,0.2587799816000169,0.662522284353982,0.3117110760894109,0.5200680211778108,1,0
69.93,378.86,1.45,103,0.5467102793432796,0.184854455525527,0.9695846277645586,0.7751328233611146,0,1
86.49,281.24,0.84,439,0.9394989415641892,0.8948273504276488,0.5978999788110851,0.9218742350231168,1,0
79.87,329.51,1.29,493,0.0884925020519195,0.1959828624191452,0.045227288910538,0.3253303307632643,1,0
72.36,328.3,1.47,475,0.388677289689482,0.2713490317738959,0.8287375091519293,0.3567533266935893,0,1
36.11,280.27,0.7,410,0.2809345096873807,0.5426960831582485,0.1409242249747626,0.8021969807540397,1,0
39.98,131.0,1.17,161,0.0745506436797708,0.9868869366005172,0.7722447692966574,0.1987156815341724,1,0
23.24,35.78,1.34,156,0.0055221171236023,0.8154614284548342,0.7068573438476171,0.7290071680409873,1,0
31.26,209.25,0.84,408,0.7712703466859457,0.0740446517340903,0.3584657285442726,0.1158690595251297,0,1
82.18,230.59,0.68,498,0.8631034258755935,0.6232981268275579,0.3308980248526492,0.0635583502860236,0,1
31.33,293.18,1.0,402,0.3109823217156622,0.325183322026747,0.7296061783380641,0.6375574713552131,0,1
41.26,319.52,1.3,445,0.8872127425763265,0.4722149251619493,0.1195942459383017,0.713244787222995,0,1
34.04,291.63,1.34,432,0.7607850486168974,0.5612771975694962,0.770967179954561,0.4937955963643907,0,1
65.15,271.72,0.88,384,0.5227328293819941,0.4275410183585496,0.0254191267440951,0.1078914269933044,0,1
69.23,62.41,0.84,408,0.0314291856867342,0.6364104112637804,0.3143559810763267,0.5085706911647028,1,0
48.35,299.33,1.44,145,0.907566473926093,0.2492922291488749,0.4103829230356297,0.7555511385430487,0,1
2.67,85.67,0.59,145,0.2287981654916224,0.0769799098287929,0.289751452913768,0.1612212872540044,0,1
18.58,490.71,1.65,345,0.9296976523425732,0.808120379564417,0.6334037565104235,0.8714605901877177,0,1
78.76,208.78,1.24,294,0.8036720768991145,0.1865700588860358,0.8925589984899778,0.5393422419156507,0,1
42.23,89.16,0.82,431,0.8074401551640625,0.8960912999234932,0.3180034749718639,0.1100519245276767,0,1
88.75,214.36,1.23,464,0.2279351625419416,0.4271077886262563,0.8180147659224931,0.8607305832563434,1,0
33.48,284.97,1.46,262,0.0069521305311907,0.5107473025775657,0.417411003148779,0.2221078104707302,1,0
65.1,399.03,0.85,471,0.1198653673336828,0.3376151714036279,0.9429097039125192,0.3232029320207552,0,1
30.07,385.94,0.77,119,0.5187906217433661,0.7030189588951778,0.363629602379294,0.9717820827209608,1,0
53.36,373.07,1.23,80,0.9624472949421112,0.2517822958253641,0.4972485058923854,0.3008783098167696,0,1
22.06,207.35,1.17,151,0.2848404943774676,0.0368869473545327,0.6095643339798968,0.5026790232288615,0,1
32.87,113.99,1.47,61,0.0514787512499893,0.2786464642366114,0.9082658859666536,0.2395618906669724,0,1
27.51,337.9,1.2,344,0.1448948720912231,0.489452760277563,0.9856504541106008,0.2420552715115004,1,0
74.87,416.52,1.06,377,0.6721355474058786,0.7616196153287176,0.2376375439923996,0.7282163486118596,1,0
84.86,312.69,0.95,138,0.3677831327192532,0.6323058305935795,0.6335297107608947,0.5357746840747585,1,0
93.68,108.42,0.75,362,0.0902897700544083,0.835302495589238,0.3207800649717358,0.1865185103998542,1,0
13.12,168.96,1.46,107,0.0407751415547639,0.5908929431882418,0.6775643618422824,0.0165878289278561,1,0
56.29,136.93,0.58,410,0.512093058299281,0.2264957751979379,0.6451727904094499,0.1743664290049914,0,1
32.31,200.54,1.29,230,0.690937738102466,0.3867353463005374,0.9367299887367344,0.1375209441459932,0,1
27.88,15.24,1.01,274,0.3410663510502585,0.113473521240589,0.9246936182785628,0.877339353380981,0,1
71.05,445.36,0.64,241,0.2579416277151556,0.659984046034179,0.8172222002012158,0.5552008115994623,1,0
57.88,396.58,1.27,91,0.5296505783560065,0.2418522909004516,0.0931027678058992,0.8972157579533268,1,0
82.64,154.79,0.76,373,0.9004180571633305,0.6331014572732679,0.3390297910487007,0.3492095746126609,0,1
99.54,172.49,1.27,209,0.7259556788702394,0.8971102599525771,0.8870864242651173,0.7798755458576239,1,0
93.06,161.48,0.52,151,0.6420316461542878,0.0841399649950488,0.1616287140946137,0.8985541885270792,0,1
92.28,203.77,1.49,490,0.6064290596595899,0.0091970516166296,0.1014715428660321,0.6635017691080558,0,1
32.54,165.84,0.53,469,0.0050615838462186,0.1608080514174986,0.5487337893665861,0.6918951976926933,1,0
69.37,59.61,0.78,58,0.6519612595026005,0.2242693094605597,0.7121792213475359,0.2372490874968,0,1
12.94,213.33,1.35,274,0.3253996981592677,0.7464914051180241,0.6496328990472147,0.8492234104941779,1,0
89.25,159.88,1.49,384,0.6576128923003434,0.5683086033354716,0.0936747678280924,0.3677158030594335,1,0
26.33,280.96,1.07,166,0.2652023676817254,0.2439896433790835,0.9730105547524456,0.3930977246667604,0,1
75.84,243.22,0.69,448,0.8920465551771133,0.6311386259972629,0.7948113035416484,0.5026370931051921,0,1
9.56,362.9,1.05,229,0.5769038846263591,0.4925176938188639,0.1952429877980445,0.7224521152615053,1,0
51.3,308.76,0.8,65,0.2807723624408558,0.0243159664314538,0.6454722959071678,0.1771106794070489,0,1
17.87,267.73,1.03,134,0.9404585843529144,0.9539285770025874,0.9148643902204484,0.3701587002554444,0,1
73.21,82.65,0.59,488,0.0154566165288674,0.9283185625877254,0.4281841483173143,0.9666548190436696,1,0
91.71,332.47,1.33,177,0.9636199770892528,0.8530094554673601,0.2944488920695857,0.3850977286019252,0,1
5.81,405.62,1.1,308,0.8511366715168569,0.3169220051562776,0.1694927466860925,0.5568012624583502,0,1
84.28,220.42,0.55,469,0.936154774160781,0.696029796674973,0.570061170089365,0.0971764937707685,0,1
13.02,392.3,1.18,99,0.6150072266991697,0.9900538501042632,0.140084015236524,0.5183296523637367,1,0
55.16,237.37,0.88,171,0.8773730719279554,0.7407686177542044,0.697015740995268,0.7024840839871093,0,1
42.96,287.76,0.87,264,0.3594911512197551,0.2935918442644933,0.8093611554785136,0.8101133946791808,0,1
